Timestamp,Date,Name,Parent,Type of Event,Description,URL,Image,END,Status,
Original,4/10/2002,LL 11 Int 0119 Introduced by City Council,Law,Local Law," A LL to amend the NYC charter, in relation to requiring that official publications of city agencies be submitted in electronic format to the department of records and information services and be made available to the public through the department's website. ",http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=437629&GUID=C254E206-DB37-45C6-B3F1-37D041C63D01&Options=Advanced&Search=,,,,
Original,2/18/2003,LL Int 0119 Signed Into Law by Mayor Bloomberg,Law,Local Law," A LL to amend the NYC charter, in relation to requiring that official publications of city agencies be submitted in electronic format to the department of records and information services and be made available to the public through the department's website. ",http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=437629&GUID=C254E206-DB37-45C6-B3F1-37D041C63D01&Options=Advanced&Search=,,,,
Original,5/1/2005,Local Law 47 of 2005,Law,Local Law,"Local Law 47 of 2005 requires the Department of Information Technology and Telecommunications (DoITT) to issue monthly reports to the City Council, the Public Advocate, Community Boards, and the public regarding data collected by the 311 Customer Service Center.",http://www.nyc.gov/html/ops/ll47/html/about_ll47/about_ll47.shtml,,,,
Original,2/11/2010,Int 0029 Introduced by City Council (to be Local Law 11 of 2012),Law,Local Law," A Local Law to amend the administrative code of the city of New York, in relation to publishing open data. ",http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=649911&GUID=E650813B-B1E9-4E56-81BA-58261487DA4A,,,,
Original,4/14/2010,LL Int 0132 Introduced by City Council,Law,Local Law,"A Local Law to amend the New York city charter, in relation to requiring that all public meetings be webcast.",http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=657961&GUID=7880F746-C597-416E-BD20-43175D0CD616&Options=ID|Text|&Search=132,,,,
Original,11/30/2010,LL Int 0431 Introduced by City Council,Law,Local Law," A Local Law to amend the New York city charter, in relation to requiring the department of information technology and telecommunication to publish annually a public data directory. ",http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=805605&GUID=249525CC-0152-442A-92D2-3BB12F3D167B&Options=&Search=,,,,
Original,2/28/2012,LL Int 0029 Amended by Committee on Technology (Local Law 11 of 2012),Law,Local Law," A Local Law to amend the administrative code of the city of New York, in relation to publishing open data. ",http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=649911&GUID=E650813B-B1E9-4E56-81BA-58261487DA4A,,,,
Original,2/29/2012,Local Law 11 of 2012 voted,Law,Local Law,"The NYCC approve a landmark piece of legislation that would require its 50 plus agencies to publish their quantitive data sets through an online portal in a machine-readable format, enabling public and private sector access to better manipulate and interpret the city's information.",http://techpresident.com/news/21849/new-york-city-passes-landmark-open-data-legislation,,,,
Original,3/7/2012,Local Law 11 of 2012 signed by major Bloomberg,Law,Local Law,Open data legal policy and public data set availability,http://cityofnewyork.github.io/opendatatsm/LocalLaw11of2012.html,,,,
Original,3/7/2012,LL Int 0029 Signed Into Law by Mayor Bloomberg,Law,Local Law," A Local Law to amend the administrative code of the city of New York, in relation to publishing open data. ",http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=649911&GUID=E650813B-B1E9-4E56-81BA-58261487DA4A,,,,
Original,12/2/2013,LL Int 0132 Signed Into Law by Mayor Bloomberg,Law,Local Law,"A Local Law to amend the New York city charter, in relation to requiring that all public meetings be webcast.",http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=657961&GUID=7880F746-C597-416E-BD20-43175D0CD616&Options=ID|Text|&Search=132,,,,
Original,12/17/2002,LL (Int 0119) Amended by Committee on Governmental Operations,Law,Local Law Amendment," A LL to amend the NYC charter, in relation to requiring that official publications of city agencies be submitted in electronic format to the department of records and information services and be made available to the public through the department's website. ",http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=437629&GUID=C254E206-DB37-45C6-B3F1-37D041C63D01&Options=Advanced&Search=,,,,
Original,8/7/2008,Update on FOIL,Law,Local Law Amendment,"The changes include limits on fees that can be charged individuals for electronic records, provisions regarding large requests, and for new records created from electronic information systems. ",http://www.rcfp.org/browse-media-law-resources/news/ny-touches-its-open-government-laws,,,,
Original,11/14/2013,LL Int 032 Amendment by Committee on Technology,Law,Local Law Amendment,"A Local Law to amend the New York city charter, in relation to requiring that all public meetings be webcast.",http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=657961&GUID=7880F746-C597-416E-BD20-43175D0CD616&Options=ID|Text|&Search=132,,,,
Original,6/24/2003,NYCtv Launch,Tools,Network / Infrastructure,"Mayor Michael R. Bloomberg today announced the launch of NYC TV – the official television network of the City of New York.  NYC TV is taking over operations from Crosswalks Television, which served the City for eleven years.  The revamped network has undergone a major facelift and shift in programming.  NYC TV now features new original programming that highlights what makes New York City the “World’s Second Home” as well as improved governmental coverage that includes live Mayoral press conferences from City Hall.  NYC TV is comprised of five channels, and is available in 1.8 million households in New York City, reaching all cable subscribers in the five boroughs.  NYC TV is a division of the City’s Department of Information Technology and Telecommunications (DoITT).",http://www.nyc.gov/portal/site/nycgov/menuitem.c0935b9a57bb4ef3daf2f1c701c789a0/index.jsp?pageID=mayor_press_release&catID=1194&doc_name=http%3A%2F%2Fwww.nyc.gov%2Fhtml%2Fom%2Fhtml%2F2003a%2Fpr172-03.html&cc=unused1978&rc=1194&ndi=1,,,,
Original,12/18/1989,City Charter created the Commission on Public Information & Communication (COPIC),Law,Local Law Amendment,,http://pubadvocate.nyc.gov/transparency/copic,,,,
Original,11/10/2005,NYC 311 expands to include City's social services network,Policy,Policy,"Mayor Michael R. Bloomberg, Department of Information Technology and Telecommunications (DoITT) Commissioner Gino Menchini, Human Resources Administration (HRA) Commissioner Verna Eggleston and United Way of New York City (UWNYC) President and CEO Lawrence Mandell today announced the kickoff of a major initiative to enhance the City’s 3-1-1 Citizen Service Center to provide information on social services provided by nonprofit groups.  This new initiative will make it easier for New Yorkers to navigate the maze of nonprofit services in New York City much the way 3-1-1 has made it simple for New Yorkers to connect with their government. New York City is currently home to thousands of nonprofit organizations that help hundreds of thousands of New Yorkers every year.  Many nonprofits provide vital services but have not been part of the City’s referral network.  These services are often difficult to access, especially for those that need those services the most.  This project, a joint effort between New York City and the United Way of New York City, will address that problem.  The Mayor set an aggressive timetable of having the new integrated system in place within one year. ",http://www.nyc.gov/portal/site/nycgov/menuitem.c0935b9a57bb4ef3daf2f1c701c789a0/index.jsp?pageID=mayor_press_release&catID=1194&doc_name=http%3A%2F%2Fwww.nyc.gov%2Fhtml%2Fom%2Fhtml%2F2005b%2Fpr419-05.html&cc=unused1978&rc=1194&ndi=1,,,,
Original,11/1/2007,"PlanIt, New York City's First-Ever Comprehensive Technology Strategy",Policy,Policy Change or Announcement,"Mayor Michael R. Bloomberg today announced the release of PlanIT: Better Government through Customer Service, New York City's first-ever comprehensive technology strategy for coordinated, effective and efficient citywide IT implementation. With an overarching theme of customer service, PlanIT outlines 32 technology initiatives, either planned or underway, in a variety of areas of City government, including economic development, public safety, social services, education, community services, citywide administration and legal affairs. Department of Information Technology and Telecommunications (DoITT) Commissioner Paul J. Cosgrave unveiled PlanIT as part of the New York City Technology Forum at the Brooklyn Marriott. The full plan is available on the City's official website, www.nyc.gov.",http://www.nyc.gov/portal/site/nycgov/menuitem.c0935b9a57bb4ef3daf2f1c701c789a0/index.jsp?pageID=mayor_press_release&catID=1194&doc_name=http%3A%2F%2Fwww.nyc.gov%2Fhtml%2Fom%2Fhtml%2F2007b%2Fpr396-07.html&cc=unused1978&rc=1194&ndi=1,,,,
Original,6/29/2009,NYC 311 on Skype & Twitter,Policy,Policy Change or Announcement,"The Mayor announced 311 Skype and Twitter accounts. Through Skype - a software application that enables calls to be made over the Internet - people from around the world will be able to call 311 for free. The City will use Twitter - the free, social messaging service - to 'tweet' information regularly about such things as alternate side of the street parking status, schools closures and information about citywide events. 311NYC tweets will be 140 or fewer characters in length and can be sent to any mobile device via texting, instant messaging or the web. Information about emergency events and services will continue to be accessible via Notify NYC. ",http://www.nyc.gov/portal/site/nycgov/menuitem.c0935b9a57bb4ef3daf2f1c701c789a0/index.jsp?pageID=mayor_press_release&catID=1194&doc_name=http%3A%2F%2Fwww.nyc.gov%2Fhtml%2Fom%2Fhtml%2F2009a%2Fpr294-09.html&cc=unused1978&rc=1194&ndi=1,,,,
Original,10/6/2011,NYC gov joins GitHub,Policy,Copyright,,https://github.com/CityOfNewYork,,,,
Original,1/20/2012,NYCgov joins Meetup.com,Policy,Policy Change or Announcement,,http://meetup.com/nycgov,,,,
Original,2/1/2013,NYCgov welcomes Code for America Fellows,Policy,Policy Change or Announcement,,,,,,
Original,3/11/2013,NYS - Open NY Program,Law,State Executive Order,"""Open.ny.gov creates unprecedented transparency across all levels of government and gives the people user-friendly access to vast quantities of information on our State,"" Governor Cuomo said. ""This new website will dramatically increase public access to one of our most valuable assets - data. As it expands and evolves over time, Open.ny.gov will spark innovation, improve efficiency, promote accountability, and bring the people back into government.""",http://www.governor.ny.gov/press/03112013open-data,,,,
Original,11/12/2013,Schools Choice Redesign Challenge,Events,Contest,"Each year in New York City nearly 80,000 eighth-grade students apply to high school, choosing from more than 700 program options. This Fall, iNYCS led six startups through the first School Choice Design Challenge (SCDC) to create prototypes of new tools for the school choice experience.",http://www.innovatenycschools.org/the%20challenge/,,,,
Original,4/1/1993,First Edition NYC Public Data Directory,Policy,Publication,"COPIC's Public Data Directory, this is the first municipal data directory in America.",http://www.scribd.com/doc/18121479/1993-NYC-Public-Data-Directory,,,,
Original,4/1/1993,First Edition Pubilc Data Directory,Policy,Publication,"The 1993 Public Data Directory has been digitized and structured as a database, but is not yet in a web accessible form. It should be made available here in the near future.",http://datanyc.org/nycgov/1993-public-data-directory/,,,,
Original,2/1/2001,NYC DoITT Data Systems Inventory,Policy,Publication,This is an effort to digitize the 2001 NYC DoITT Data Systems Inventory and provide a point of reference for a current NYC Public Data Directory. ,http://2001.datanyc.org/,,,,
Original,10/6/2009,Launch of NYC Open DataMine Website,Tools,Website,"NYC Mayor’s Office launched two related initiatives, a new “DataMine” website",https://data.cityofnewyork.us/,,,,
Original,6/29/2011,NYC Digital - Roadmap Publication 2011,Policy,Publication,"New York City government report of the investments in digital infrastructure, education, open government, online engagement and technology sector support.",http://www.nyc.gov/html/digital/downloads/pdf/90dayreport.pdf,,,,
Original,1/9/2012,New York City OpenData Technical Standards Manual,Policy,Publication,"DoITT prepare and publish a technical standards manual for City agencies, setting forthpolicies and standards for open data",http://cityofnewyork.github.io/opendatatsm/,,,,
Original,8/1/2012,NYC Digital - Roadmap Publication 2012,Policy,Publication,"New York City government report of the investments in digital infrastructure, education, open government, online engagement and technology sector support.",http://www.nyc.gov/html/digital/html/roadmap/2012roadmap.shtml,,,,
Original,12/1/2012,Start Up City ,Policy,Publication,Offices of Manhattan Borough President launched the report of the New York’s Entrepreneurial Ecosystem.,http://www.mbpo.org/uploads/StartupCity.pdf,,,,
Original,10/17/2013,NYC Digital - Roadmap Publication 2013,Policy,Publication,"New York City government report of the investments in digital infrastructure, education, open government, online engagement and technology sector support.",,,,,
Original,11/1/2006,NYCgov's Access NYC,Tools,Website,"Best IT Collaboration Among Agencies - ACCESS NYC is a free online service that allows users to pre-screen themselves for 21 human service programs in any of seven languages.  ACCESS NYC simplifies a complex process and makes potential clients aware of programs they may not have known existed.  Over 100 staff and consulting resources from nine City agencies are involved in this project, sponsored and led by the Deputy Mayor for Health and Human Services, Linda I. Gibbs.",http://www.nyc.gov/html/doitt/html/news/pr110206.shtml,,,,
Original,11/30/2006,NYC Map Launch,Tools,Website,"Department of Information Technology and Telecommunications (DoITT) Commissioner Paul J. Cosgrave and Assistant Commissioner for Citywide GIS Marsha Kaunitz today announced the launch of the NYCityMap, available on NYC.gov at www.nyc.gov/citymap.  While offering everything the current NYC Map Portal does, including links to building information and violations, election poll site locations and census data, the new NYCityMap application also provides several features not previously available elsewhere, such as City Council district and Community Board boundaries, restaurant inspection results, subway station entrances and exits, and an aerial photograph-view of the City.",http://www.nyc.gov/html/doitt/html/news/pr113006.shtml,,,,
Original,4/14/2009,NYC Map 2.0 Launch,Tools,Website,"Department of Information Technology and Telecommunications (DoITT) Commissioner Paul J. Cosgrave today announced launch of the newest version of NYCityMap, the City’s web-based interactive mapping application, available on NYC.gov at www.nyc.gov/citymap.  The NYCityMap2.0 improved user interface provides several data layers available for the first time, including information about the City’s current capital construction projects and the addresses, hours of operation, services offered and language access capabilities of walk-in service centers for various City agencies across the five boroughs.  Added application functionality includes search history, distance measuring, and the ability of users to save and export their maps.  These improvements enhance previously-available NYCityMap offerings such as aerial photos of the city, building and property information, poll site locations and census data, neighborhood health profiles and statistics, restaurant inspection information, locations of educational facilities and transportation hubs, and much more.",http://www.nyc.gov/html/doitt/html/news/pr041409.shtml,,,,
Original,6/29/2009,311 Online – Launched ,Tools,Website,"Mayor Bloomberg launched 311 Online, a one-stop, searchable web portal on NYC.gov for thousands of New York City services. Through the site, New Yorkers can obtain information, report problems, lodge complaints, check the status of previously-filed complaints and request City services - just as they can by calling 311. Users can browse through a directory of City services, search for available services by specific demographic or service type, and access quick links to featured services and top services. Keyword searches and advanced search options allow customers to navigate directly to the information. Users will be able to attach pictures, videos and audio files to their complaints and service requests.",http://www.nyc.gov/portal/site/nycgov/menuitem.c0935b9a57bb4ef3daf2f1c701c789a0/index.jsp?pageID=mayor_press_release&catID=1194&doc_name=http%3A%2F%2Fwww.nyc.gov%2Fhtml%2Fom%2Fhtml%2F2009a%2Fpr294-09.html&cc=unused1978&rc=1194&ndi=1,,,,http://media.govtech.net/GOVTECH_WEBSITE/EVENTS/PRESENTATION_DOCS/2009/GTC_East/NYC_311_Story.pdf
Original,7/1/2009,NY Senate - Open Legislation,Tools,Website,"""OpenLeg"" is a web site and an Application Programming Interface (API) that makes legislative data available to the public in away that it can easily be searched, commented upon, and shared socially with others.",http://open.nysenate.gov/legislation/,,,,
Original,7/1/2009,NYSenate.gov,Tools,Website,It is an accessible repository of all legislative and institutional administrative data.,http://www.nysenate.gov/,,,,
Original,10/1/2009,Announced MyNYC.gov,Tools,Website,"Mayor Bloomberg also announced plans for “MyNYC.gov,” a customized version of the City’s website NYC.gov based on users’ needs and preferences.  MyNYC.gov will feature an optional, customized dashboard for quick and centralized access to information relevant to the user, with contact information automatically populating forms.",http://www.nyc.gov/portal/site/nycgov/menuitem.c0935b9a57bb4ef3daf2f1c701c789a0/index.jsp?pageID=mayor_press_release&catID=1194&doc_name=http%3A%2F%2Fwww.nyc.gov%2Fhtml%2Fom%2Fhtml%2F2009b%2Fpr432-09.html&cc=unused1978&rc=1194&ndi=1,,,,
Original,7/15/2010,NYC Data Catalog Migrates to Socrata,Tools,Website,,,,,,
Original,7/7/2011,Change by Us NYC website launches,Events,Contest,,http://www.nyc.gov/portal/site/nycgov/menuitem.c0935b9a57bb4ef3daf2f1c701c789a0/index.jsp?pageID=mayor_press_release&catID=1194&doc_name=http%3A%2F%2Fwww.nyc.gov%2Fhtml%2Fom%2Fhtml%2F2011b%2Fdm_07-07-2011.html&cc=unused1978&rc=1194&ndi=1,,,,
Original,9/14/2011,"NYC DoT launches ""Suggest a Bikeshare Station"" map",Tools,Website,,http://www.flickr.com/photos/noneck/6148180210/,,,,
Original,5/8/2013,NYC Developers Portal,Tools,Website,"This developer prototype aims to eventually serve as a hub for talented civic developers -- offering tools, documentation, code samples, peer-to-peer support, and more.",https://developer.cityofnewyork.us/site-feedback,,,,
Original,9/29/2013,NYC.gov Relaunch,Tools,Website,"New version of NYC.gov, the City’s official website, which has been overhauled to make it more usable, intuitive and accessible,",http://www.nyc.gov/html/digital/html/news/nycgov-website-relaunch.shtml,,,,
Original,12/8/2013,NYC Crime Map,Tools,Website,an interactive crime map that enables the public to search and access basic data on felony crime occurrences by location,http://www.nyc.gov/html/nypd/html/crime_prevention/crime_statistics.shtml,,,,
Original,12/20/2013,NYC's Open Data Dashboard,Tools,Website,,https://data.cityofnewyork.us/compliance,,,,
Original - Update,11/11/2011,NYC BigApps Hackathon,Community,Event,"A diverse group of developers, designers, and visionaries collaborated on some incredibly innovative uses of NYC Open Data and APIs from participating companies. A stellar panel of judges ranked the submissions and awarded $2,500 in prizes.",http://blog.challengepost.com/post/12799765309/awesome-nyc-bigapps-hacks,,,,
Original - Update,7/30/2012, Reinvent Green Hackathon,Community,Event,"NYC Digital and the Mayor’s Office of Long-Term Planning and Sustainability which is responsible for implementing PlaNYC, hosted Reinvent Green, the City's first sustainability hackathon",http://www.nyc.gov/html/digital/html/opengov/reinventgreen.shtml,,,,
Original - Update,7/11/2013,NYC Digital - Roadmap Listining Sessions Brooklyn,Community,Event,NYC Digital invites New Yorkers to a series of participatory discussions on initiatives to help realize New York City’s potential as the world’s leading digital city. ,http://www.meetup.com/nycgov/events/127450042/,,,,
Original - Update,7/23/2013,NYC Digital - Roadmap Listining Sessions Staten Island,Community,Event,NYC Digital invites New Yorkers to a series of participatory discussions on initiatives to help realize New York City’s potential as the world’s leading digital city. ,http://www.meetup.com/nycgov/events/127450932/,,,,
Original - Update,8/6/2013,NYC Digital - Roadmap Listining Sessions Bronx,Community,Event,NYC Digital invites New Yorkers to a series of participatory discussions on initiatives to help realize New York City’s potential as the world’s leading digital city. ,http://www.meetup.com/nycgov/events/127452032/,,,,
Original - Update,8/13/2013,NYC Digital - Roadmap Listining Sessions Queens,Community,Event,NYC Digital invites New Yorkers to a series of participatory discussions on initiatives to help realize New York City’s potential as the world’s leading digital city. ,http://www.meetup.com/nycgov/events/127452582/,,,,
Original - Update,9/17/2007,COPIC Meeting,Events,Hearing,,http://advocate.nyc.gov/sites/advocate.nyc.gov/files/COPIC-Transcript-9-17-07_0.pdf,,,,
Original - Update,2/6/2012,COPIC Meeting,Events,Hearing,"COPIC chaired by Public Advocate Bill de Blasio, held its first meeting of 2012",http://pubadvocate.nyc.gov/transparency/copic,,,,
Original - Update,4/17/2013,Executive Order 306,Law,Local Executive Order,Formalizing the Mayor's Office of Data Annalytics,http://www.nyc.gov/html/om/pdf/eo/eo_306.pdf,,,,
Original - Update,1/31/2002,NYC 311 announced,Tools,Network / Infrastructure,"Mayor Michael R. Bloomberg and Department of Information Technology and Telecommunications (DoITT) Commissioner Gino P. Menchini today outlined plans for the creation of a new 311 phone system that will enhance and facilitate constituent services. New York City currently maintains over 40 help-lines, including 14 for public safety, 8 for infrastructure, regulatory and community services, 7 for business affairs and waste management, and 11 for health and human services. Mayor Bloomberg and Commissioner Menchini discussed the plans, part of the Mayor's Citizen Service Initiative, at the Public Safety Answering Center (PSAC) in Brooklyn's Metro Tech Center.",http://www.nyc.gov/portal/site/nycgov/menuitem.b270a4a1d51bb3017bce0ed101c789a0/index.jsp?pageID=nyc_blue_room&catID=1194&doc_name=http%3A%2F%2Fwww.nyc.gov%2Fhtml%2Fom%2Fhtml%2F2002a%2Fpr024-02.html&cc=unused1978&rc=1194&ndi=1,,,,
Original - Update,3/9/2003,NYC 311 Customer Service Center launched,Tools,Network / Infrastructure,Launch of the new Customer Service Center and 311 hotline. ,http://media.govtech.net/GOVTECH_WEBSITE/EVENTS/PRESENTATION_DOCS/2009/GTC_East/NYC_311_Story.pdf,,,,
Original - Update,12/1/2009,NY Senate - Open Source,Tools,Website,New York State Senate launches the exclusively use open-source software.,https://github.com/nysenatecio,,,,
Original - Update,12/1/2009,NY Senate - Open Standards & APIs,Tools,Website,"All data and other content used in NYSenate.gov and OpenLegislation is also published as data feeds in open standards formats such as XML, CSV ,and JSON",http://open.nysenate.gov/legislation/developers/,,,,
Update 1,4/24/2012,NYC Chief Information Innovation Officer appointed - Rahul N. Merchant,Events,Appointment,This is the first time the CIIO is mentioned,http://www.nyc.gov/html/om/html/2012a/pr148-12.html,,,,
Update 1,nil,NYC Chief Annalytics Officer Apointment - Mike Flowers,Events,Appointment,,,,,,
Update 1,nil,NYC Chief Information Officer Apointment - Carol Post,Events,Appointment,,,,,,
Update 1,nil,NYC Chief Information Officer Apointment - Gino Menchini,Events,Appointment,,,,,,
Update 1,10/12/2010,NYC BigApps 2.0,Events,Contest,,http://www.nyc.gov/html/om/html/2010b/pr430-10.html,,,,
